This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    76153
Number of nonzeros in inequality constraint Jacobian.:      602
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      301
                     variables with only lower bounds:      100
                variables with lower and upper bounds:       51
                     variables with only upper bounds:        0
Total number of equality constraints.................:      253
Total number of inequality constraints...............:        2
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  6.3898076e+00 1.10e+04 2.37e+00  -9.4 2.77e-02    -  1.00e+00 1.00e+00h  1
 131  6.3858168e+00 3.87e+04 3.83e+00  -8.8 3.33e-02    -  1.00e+00 1.00e+00h  1
 132  6.3909701e+00 1.52e+04 2.39e+00  -9.8 1.91e-02    -  1.00e+00 1.00e+00h  1
 133  6.3717752e+00 1.00e+05 3.45e+00  -9.9 8.79e-02    -  1.00e+00 1.00e+00h  1
 134  6.3822292e+00 5.00e+04 2.87e+00  -9.9 5.76e-02    -  1.00e+00 5.00e-01h  2
 135  6.3365808e+00 2.67e+05 2.77e+00  -9.9 2.48e-01    -  2.06e-01 1.00e+00h  1
 136  6.3714914e+00 1.14e+05 2.63e+00 -11.0 9.61e-01    -  9.40e-02 9.27e-01h  1
 137  6.3704894e+00 1.13e+05 2.61e+00  -8.0 1.59e+00    -  3.60e-01 5.67e-03h  1
 138  6.3000295e+00 2.98e+05 2.58e+00  -6.4 8.89e-01    -  1.00e+00 4.16e-01f  1
 139  6.3902314e+00 5.99e+04 2.39e+00  -3.8 2.51e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  6.3423400e+00 2.47e+05 2.77e+00  -3.7 5.93e-01    -  3.82e-01 7.80e-01h  1
 141  6.3885816e+00 5.41e+04 2.74e+00  -4.0 1.73e-01    -  1.00e+00 1.00e+00h  1
 142  6.3812169e+00 8.90e+04 3.60e+00  -4.1 1.42e-01    -  6.70e-01 1.00e+00h  1
 143  6.3828482e+00 3.40e+04 1.61e+00  -4.1 3.56e-01    -  1.00e+00 8.86e-01h  1
 144  6.3934828e+00 1.62e+04 2.71e+00  -5.4 2.14e-02    -  9.51e-01 1.00e+00h  1
 145  6.3931209e+00 1.00e+04 3.25e+00  -5.2 1.39e-02    -  1.00e+00 1.00e+00h  1
 146  6.3928239e+00 7.21e+03 2.88e+00  -5.2 4.25e-02    -  1.00e+00 2.82e-01h  1
 147  6.3910331e+00 1.86e+04 2.02e+00  -5.2 1.92e-02    -  1.00e+00 1.00e+00h  1
 148  6.3939052e+00 2.79e-07 3.82e-02  -5.2 6.69e-03    -  1.00e+00 1.00e+00h  1
 149  6.3932728e+00 2.27e-07 3.82e-02  -7.1 6.13e-03    -  1.00e+00 9.02e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  6.3499193e+00 2.94e+05 2.90e+00  -5.1 7.16e+02    -  1.17e-03 5.15e-04f  1
 151  6.3498684e+00 2.94e+05 2.90e+00  -7.2 4.64e+00    -  3.43e-02 3.69e-04h  1
 152  6.3252016e+00 3.52e+05 2.92e+00  -7.2 1.62e+03    -  2.14e-04 2.78e-04f  1
 153  6.3262587e+00 3.46e+05 2.93e+00  -7.2 2.33e+00    -  1.63e-05 1.64e-02h  1
 154  6.2971975e+00 3.46e+05 2.93e+00  -7.2 1.17e+03    -  2.36e-05 1.55e-04f  1
 155  6.2969939e+00 3.46e+05 3.01e+00  -7.2 1.45e+01    -  1.09e-02 5.00e-05h  1
 156  6.2483265e+00 3.42e+05 3.01e+00  -7.2 1.52e+01    -  9.58e-03 1.17e-02f  1
 157  6.3002485e+00 3.25e+05 3.25e+00  -7.2 5.66e-01    -  1.90e-02 4.37e-01h  2
 158  6.2764763e+00 5.24e+05 2.70e+00  -9.2 1.06e+00    -  8.20e-02 6.48e-01h  1
 159  6.2785179e+00 3.00e+05 2.78e+00  -7.2 5.75e-01    -  1.21e-03 8.92e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  6.2765378e+00 2.82e+05 3.97e+00  -7.2 1.23e+00    -  3.85e-01 6.22e-02h  1
 161  6.3357771e+00 1.99e+05 4.59e+00  -7.2 3.53e-01    -  1.63e-01 1.00e+00h  1
 162  6.3309328e+00 2.91e+05 3.80e+00  -3.9 3.10e-01    -  7.97e-01 9.96e-01h  1
 163  6.3425222e+00 2.38e+05 3.44e+00  -4.1 4.53e-01    -  1.31e-01 1.82e-01h  1
 164  6.1884000e+00 8.89e+05 2.45e+00  -4.1 3.88e+02    -  2.70e-03 3.14e-03f  1
 165  6.2433877e+00 4.89e+05 3.94e+00  -4.1 6.55e-01    -  5.95e-03 4.50e-01h  1
 166  6.3790990e+00 1.60e+05 3.23e+00  -4.2 6.47e-01    -  4.65e-01 1.00e+00h  1
 167  6.2493588e+00 2.94e+05 3.11e+00  -4.2 3.13e+00    -  1.07e-01 1.15e-01h  1
 168  6.3247549e+00 1.33e+05 2.21e+00  -4.2 2.82e-01    -  2.05e-02 5.49e-01h  1
 169  6.2030047e+00 5.02e+05 2.97e+00  -3.8 1.41e+01    -  2.40e-02 5.97e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  6.2456881e+00 3.51e+05 2.89e+00  -4.6 1.13e+00    -  1.82e-01 5.01e-01h  1
 171  6.2788976e+00 2.04e+05 2.34e+00  -4.3 1.93e+00    -  5.81e-02 4.17e-01h  1
 172  6.2467615e+00 3.73e+05 3.84e+00  -6.3 4.86e-01    -  1.58e-01 6.57e-01h  1
 173  6.3186080e+00 9.74e+04 2.54e+00  -4.0 9.72e-01    -  1.00e+00 8.75e-01h  1
 174  6.3427855e+00 6.00e+04 3.37e+00  -3.6 1.98e+00    -  9.18e-01 4.46e-01h  1
 175  6.3859822e+00 5.63e+04 2.97e+00  -4.2 7.58e-02    -  1.00e+00 1.00e+00h  1
 176  6.3905586e+00 5.28e+04 3.28e+00  -4.3 1.02e-01    -  1.00e+00 1.00e+00h  1
 177  6.3852053e+00 8.81e+04 2.55e+00  -4.3 9.53e-02    -  7.10e-01 1.00e+00h  1
 178  6.3859317e+00 8.33e+04 2.50e+00  -4.3 1.87e-01    -  1.00e+00 5.48e-02h  4
 179  6.3081366e+00 3.51e+05 3.01e+00  -4.3 2.20e+02    -  4.02e-03 4.27e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  6.3105100e+00 3.23e+05 2.66e+00  -4.3 1.22e+00    -  3.46e-01 8.08e-02h  2
 181  6.3268322e+00 1.92e+05 3.11e+00  -4.3 8.05e-01    -  1.77e-01 4.05e-01h  1
 182  6.2914313e+00 4.44e+05 2.77e+00  -4.3 1.26e+00    -  4.37e-01 9.40e-01h  1
 183  6.2541384e+00 3.82e+05 2.60e+00  -4.3 2.29e+00    -  5.89e-02 1.40e-01h  1
 184  6.2973343e+00 2.26e+05 2.25e+00  -4.3 7.75e-01    -  5.29e-01 4.07e-01h  1
 185  6.2509433e+00 1.83e+05 2.72e+00  -4.3 3.45e+00    -  5.02e-02 1.90e-01h  1
 186  6.2424040e+00 2.20e+05 2.70e+00  -3.8 1.01e+01    -  1.11e-01 1.10e-02h  1
 187  6.3322729e+00 1.67e+05 3.15e+00  -3.6 1.08e+00    -  1.18e-01 6.15e-01H  1
 188  6.3435038e+00 9.73e+04 2.56e+00  -4.1 9.77e-01    -  7.26e-01 4.17e-01h  1
 189  6.2421115e+00 3.16e+05 4.08e+00  -4.1 7.37e-01    -  1.18e-01 6.51e-01h  1
